epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8954,1.2738,2.80933,1.52536,0.00587,0.84,0.39643,0.22525,1.09388,3.11375,1.38935,0.00030006,0.00030006,0.00030006
2,108.422,1.1732,2.21661,1.45599,0.52981,0.19699,0.34532,0.1432,1.4106,2.95444,1.68669,0.000586259,0.000586259,0.000586259
3,161.801,1.19173,2.11554,1.45392,0.38389,0.29842,0.30494,0.14553,1.4878,2.80401,1.73197,0.000841102,0.000841102,0.000841102
4,215.185,1.23769,2.02476,1.46906,0.24059,0.42667,0.22666,0.12625,1.64008,2.92737,1.86303,0.00106459,0.00106459,0.00106459
5,268.66,1.19505,1.98408,1.44854,0.17037,0.37333,0.14633,0.0612,1.8172,4.11756,2.17617,0.00125672,0.00125672,0.00125672
6,323.238,1.19623,1.94739,1.45259,0.52688,0.28801,0.31068,0.17832,1.5934,3.38549,1.92221,0.00125442,0.00125442,0.00125442
7,379.419,1.18768,1.84518,1.44016,0.45264,0.34667,0.35391,0.20359,1.63954,3.32609,2.00958,0.0011719,0.0011719,0.0011719
8,436.227,1.20664,1.79026,1.44039,0.42471,0.34,0.34549,0.20171,1.41342,3.55833,1.80776,0.00108938,0.00108938,0.00108938
9,495.675,1.15218,1.72539,1.40366,0.65451,0.33333,0.3878,0.2216,1.57184,3.00801,1.89437,0.00100687,0.00100687,0.00100687
10,556.372,1.10564,1.67521,1.39583,0.66092,0.30348,0.3745,0.23352,1.40753,3.04611,1.62636,0.000924352,0.000924352,0.000924352
11,617.29,1.18445,2.04846,1.44456,0.44346,0.42183,0.41906,0.24614,1.41348,2.4145,1.64995,0.000841835,0.000841835,0.000841835
12,678.943,1.14046,1.90294,1.44046,0.58581,0.45333,0.47899,0.30132,1.38048,2.12442,1.6232,0.000759318,0.000759318,0.000759318
13,741.427,1.09157,1.79834,1.3878,0.6076,0.546,0.54746,0.36687,1.26344,1.99133,1.51647,0.000676802,0.000676802,0.000676802
14,801.996,1.05252,1.7695,1.37062,0.48626,0.63166,0.54868,0.3836,1.20264,1.80384,1.47527,0.000594286,0.000594286,0.000594286
15,858.236,1.10578,1.70665,1.43192,0.67535,0.59333,0.61328,0.42245,1.1186,1.66121,1.4646,0.000511769,0.000511769,0.000511769
16,913.966,0.99976,1.61516,1.34648,0.64636,0.60068,0.59588,0.41441,1.10146,1.61578,1.39795,0.000429253,0.000429253,0.000429253
17,969.419,1.00223,1.58278,1.36068,0.60586,0.64667,0.61563,0.4325,1.07585,1.58493,1.35418,0.000346736,0.000346736,0.000346736
18,1023.83,0.94262,1.48202,1.30655,0.62994,0.63206,0.63592,0.45452,1.04089,1.45928,1.34931,0.00026422,0.00026422,0.00026422
19,1078.18,0.93669,1.44157,1.28587,0.62432,0.68547,0.63739,0.46461,1.021,1.44193,1.35153,0.000181703,0.000181703,0.000181703
20,1131.34,0.88444,1.4187,1.2528,0.66713,0.66667,0.65303,0.47827,0.9959,1.41332,1.32639,9.91865e-05,9.91865e-05,9.91865e-05
