epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.295,1.02175,1.86335,1.34983,0.63295,0.64483,0.67036,0.42952,1.11366,1.93585,1.37184,0.000540649,0.000540649,0.000540649
2,380.79,1.02754,1.27616,1.31733,0.19396,0.44483,0.1879,0.09348,1.75431,8.6791,2.15776,0.00108275,0.00108275,0.00108275
3,569.403,1.10277,1.36121,1.36929,0.33185,0.43355,0.33637,0.18055,1.89575,3.89371,2.0379,0.0016111,0.0016111,0.0016111
4,755.12,1.09617,1.346,1.36552,0.13934,0.57931,0.16039,0.06437,1.78715,18.1176,2.36959,0.00160511,0.00160511,0.00160511
5,941.327,1.03325,1.27635,1.30378,0.27853,0.31924,0.214,0.09714,1.81258,5.55226,2.22247,0.00158448,0.00158448,0.00158448
6,1130.21,1.00925,1.21238,1.31082,0.67162,0.55517,0.64674,0.4579,1.09347,2.12297,1.35833,0.00156385,0.00156385,0.00156385
7,1316.45,0.99054,1.12428,1.29231,0.63154,0.57586,0.61627,0.40223,1.26505,1.79034,1.47743,0.00154323,0.00154323,0.00154323
8,1502.33,0.94929,1.08146,1.27276,0.73891,0.65104,0.71744,0.51402,1.0671,1.46827,1.33763,0.0015226,0.0015226,0.0015226
9,1688.25,0.94865,1.07296,1.28286,0.6804,0.52414,0.59538,0.43902,1.07514,2.05962,1.34743,0.00150197,0.00150197,0.00150197
10,1875.09,0.93527,1.04195,1.26185,0.84257,0.5931,0.72489,0.52439,1.08441,1.67939,1.38129,0.00148134,0.00148134,0.00148134
11,2065.77,0.89422,0.9686,1.23851,0.75476,0.6346,0.72912,0.52942,1.01403,1.4235,1.25615,0.00146071,0.00146071,0.00146071
12,2251.66,0.91302,1.01842,1.24284,0.494,0.63103,0.56187,0.37795,1.18331,1.65725,1.37816,0.00144008,0.00144008,0.00144008
13,2437.03,0.85739,0.96067,1.19997,0.84464,0.66975,0.74497,0.54798,1.03083,1.2771,1.25789,0.00141945,0.00141945,0.00141945
14,2622.78,0.85933,0.94919,1.21696,0.81049,0.6909,0.76569,0.58546,0.93558,1.12804,1.22002,0.00139882,0.00139882,0.00139882
15,2808.73,0.84775,0.92425,1.20645,0.8236,0.74803,0.82903,0.59673,0.93529,1.01178,1.20593,0.00137819,0.00137819,0.00137819
16,2999.01,0.84529,0.92274,1.19779,0.78501,0.68056,0.77551,0.59608,0.9147,1.08451,1.22624,0.00135756,0.00135756,0.00135756
17,3186.22,0.85672,0.89654,1.22234,0.74092,0.63793,0.74999,0.57633,0.92024,1.26451,1.19066,0.00133693,0.00133693,0.00133693
18,3371.83,0.82447,0.85021,1.19008,0.73018,0.72507,0.76224,0.57741,0.93064,1.08566,1.19055,0.0013163,0.0013163,0.0013163
19,3559.11,0.82804,0.87424,1.20499,0.85262,0.66826,0.78003,0.59809,0.90383,1.10229,1.18148,0.00129568,0.00129568,0.00129568
20,3744.46,0.79496,0.83656,1.17494,0.79516,0.67241,0.75538,0.59666,0.86559,1.06946,1.15052,0.00127505,0.00127505,0.00127505
21,3930.65,0.7836,0.82358,1.17006,0.80107,0.75477,0.81798,0.61677,0.9392,0.91472,1.20368,0.00125442,0.00125442,0.00125442
22,4116.19,0.78529,0.79905,1.17255,0.83203,0.71058,0.82528,0.65053,0.7993,0.87255,1.12353,0.00123379,0.00123379,0.00123379
23,4302.98,0.75101,0.77865,1.14606,0.78936,0.7366,0.81379,0.64156,0.80673,0.88722,1.10698,0.00121316,0.00121316,0.00121316
24,4489.18,0.7188,0.7515,1.12404,0.7485,0.71586,0.79291,0.63841,0.81108,1.05572,1.09753,0.00119253,0.00119253,0.00119253
25,4675.55,0.76811,0.78615,1.15471,0.82464,0.7147,0.80459,0.62842,0.80224,0.96088,1.08377,0.0011719,0.0011719,0.0011719
26,4860.34,0.75559,0.76963,1.14912,0.82467,0.75517,0.83351,0.64093,0.86762,0.87019,1.12288,0.00115127,0.00115127,0.00115127
27,5045.63,0.74456,0.77724,1.1473,0.81682,0.73448,0.8229,0.65515,0.80258,0.93652,1.09509,0.00113064,0.00113064,0.00113064
28,5231.34,0.74327,0.73453,1.13663,0.81755,0.78069,0.834,0.67175,0.7746,0.83564,1.04283,0.00111001,0.00111001,0.00111001
29,5416.92,0.7128,0.73403,1.11817,0.85619,0.74483,0.82149,0.6706,0.75503,0.88245,1.06634,0.00108938,0.00108938,0.00108938
30,5607.65,0.71329,0.74159,1.1213,0.85806,0.7069,0.83579,0.66256,0.75077,0.86003,1.03577,0.00106876,0.00106876,0.00106876
31,5794.34,0.72186,0.73579,1.13312,0.8362,0.7366,0.82237,0.66098,0.75691,0.84587,1.05238,0.00104813,0.00104813,0.00104813
