epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,858.288,1.04953,1.47257,1.36144,0.21425,0.43893,0.16474,0.07681,1.51213,9.27551,1.84147,0.00108927,0.00108927,0.00108927
1,650.491,1.03458,1.80036,1.36112,0.52981,0.50382,0.50594,0.29638,1.1919,1.97541,1.48733,0.000547247,0.000547247,0.000547247
3,1511.74,1.09079,1.47522,1.39196,0.38897,0.44375,0.31993,0.11962,1.8791,4.67269,2.12631,0.00161753,0.00161753,0.00161753
2,1307.13,1.04953,1.47257,1.36144,0.21425,0.43893,0.16474,0.07681,1.51213,9.27551,1.84147,0.00108927,0.00108927,0.00108927
4,2186.55,1.08616,1.37828,1.37092,0.23732,0.35305,0.20569,0.09497,1.56973,3.33697,1.73288,0.00160511,0.00160511,0.00160511
3,1938.5,1.09079,1.47522,1.39196,0.38897,0.44375,0.31993,0.11962,1.8791,4.67269,2.12631,0.00161753,0.00161753,0.00161753
5,2847.28,1.07758,1.39641,1.37429,0.58509,0.55534,0.5622,0.3321,1.2679,1.77905,1.59329,0.00158448,0.00158448,0.00158448
4,2567.92,1.08616,1.37828,1.37092,0.23732,0.35305,0.20569,0.09497,1.56973,3.33697,1.73288,0.00160511,0.00160511,0.00160511
6,3495.19,0.99392,1.27797,1.32517,0.72644,0.51091,0.59114,0.38201,1.13353,1.5555,1.40467,0.00156385,0.00156385,0.00156385
5,3185.45,1.07758,1.39641,1.37429,0.58509,0.55534,0.5622,0.3321,1.2679,1.77905,1.59329,0.00158448,0.00158448,0.00158448
7,4146.26,0.97122,1.16385,1.30499,0.60583,0.58779,0.63477,0.43611,1.08244,1.44193,1.31682,0.00154323,0.00154323,0.00154323
6,3796.64,0.99392,1.27797,1.32517,0.72644,0.51091,0.59114,0.38201,1.13353,1.5555,1.40467,0.00156385,0.00156385,0.00156385
8,4800.71,0.93392,1.14241,1.28836,0.65246,0.57634,0.64572,0.43939,1.12538,1.44745,1.36734,0.0015226,0.0015226,0.0015226
7,4410.76,0.97122,1.16385,1.30499,0.60583,0.58779,0.63477,0.43611,1.08244,1.44193,1.31682,0.00154323,0.00154323,0.00154323
9,5446.28,0.88631,1.07679,1.24501,0.66317,0.65267,0.67062,0.48246,0.97471,1.21456,1.23504,0.00150197,0.00150197,0.00150197
8,5024.9,0.93392,1.14241,1.28836,0.65246,0.57634,0.64572,0.43939,1.12538,1.44745,1.36734,0.0015226,0.0015226,0.0015226
10,6097.06,0.90835,1.06534,1.25213,0.57893,0.60496,0.57936,0.41332,1.0449,1.43803,1.28234,0.00148134,0.00148134,0.00148134
9,5636.18,0.88631,1.07679,1.24501,0.66317,0.65267,0.67062,0.48246,0.97471,1.21456,1.23504,0.00150197,0.00150197,0.00150197
11,6745.58,0.87005,1.05252,1.24122,0.70715,0.66412,0.69908,0.48108,0.94944,1.25278,1.22369,0.00146071,0.00146071,0.00146071
10,6252.68,0.90835,1.06534,1.25213,0.57893,0.60496,0.57936,0.41332,1.0449,1.43803,1.28234,0.00148134,0.00148134,0.00148134
12,7385.49,0.82515,0.98568,1.2197,0.69008,0.71278,0.7177,0.53213,0.90361,1.15301,1.17299,0.00144008,0.00144008,0.00144008
11,6870.63,0.87005,1.05252,1.24122,0.70715,0.66412,0.69908,0.48108,0.94944,1.25278,1.22369,0.00146071,0.00146071,0.00146071
12,7496.87,0.82515,0.98568,1.2197,0.69008,0.71278,0.7177,0.53213,0.90361,1.15301,1.17299,0.00144008,0.00144008,0.00144008
13,8021.52,0.82854,0.96155,1.2137,0.66954,0.64745,0.66346,0.4723,0.98988,1.43277,1.24042,0.00141945,0.00141945,0.00141945
13,8108.43,0.82854,0.96155,1.2137,0.66954,0.64745,0.66346,0.4723,0.98988,1.43277,1.24042,0.00141945,0.00141945,0.00141945
14,8671.47,0.81248,0.96136,1.1947,0.72318,0.61069,0.71741,0.52392,0.87559,1.28847,1.1757,0.00139882,0.00139882,0.00139882
14,8724.12,0.81248,0.96136,1.1947,0.72318,0.61069,0.71741,0.52392,0.87559,1.28847,1.1757,0.00139882,0.00139882,0.00139882
15,9315.95,0.81147,0.94658,1.20373,0.69467,0.70664,0.76458,0.56555,0.86376,1.04836,1.17298,0.00137819,0.00137819,0.00137819
15,9336.1,0.81147,0.94658,1.20373,0.69467,0.70664,0.76458,0.56555,0.86376,1.04836,1.17298,0.00137819,0.00137819,0.00137819
16,9962.07,0.781,0.91803,1.18023,0.76666,0.69897,0.79567,0.6058,0.8078,0.98745,1.12189,0.00135756,0.00135756,0.00135756
16,9954.19,0.781,0.91803,1.18023,0.76666,0.69897,0.79567,0.6058,0.8078,0.98745,1.12189,0.00135756,0.00135756,0.00135756
17,10602.4,0.76504,0.88591,1.1703,0.66621,0.73484,0.74978,0.56141,0.83495,1.05554,1.14017,0.00133693,0.00133693,0.00133693
17,10570.9,0.76504,0.88591,1.1703,0.66621,0.73484,0.74978,0.56141,0.83495,1.05554,1.14017,0.00133693,0.00133693,0.00133693
18,11245.6,0.76607,0.90468,1.18322,0.73213,0.71374,0.77035,0.59533,0.79906,0.99117,1.10382,0.0013163,0.0013163,0.0013163
18,11192.6,0.76607,0.90468,1.18322,0.73213,0.71374,0.77035,0.59533,0.79906,0.99117,1.10382,0.0013163,0.0013163,0.0013163
19,11892.2,0.73927,0.8599,1.1543,0.76906,0.63931,0.75146,0.56341,0.87806,1.09986,1.16024,0.00129568,0.00129568,0.00129568
19,11815,0.73927,0.8599,1.1543,0.76906,0.63931,0.75146,0.56341,0.87806,1.09986,1.16024,0.00129568,0.00129568,0.00129568
20,12530.6,0.7458,0.81166,1.16347,0.8165,0.68609,0.78559,0.58732,0.81831,1.04676,1.11178,0.00127505,0.00127505,0.00127505
20,12431.5,0.7458,0.81166,1.16347,0.8165,0.68609,0.78559,0.58732,0.81831,1.04676,1.11178,0.00127505,0.00127505,0.00127505
21,13182,0.72156,0.84515,1.14454,0.71166,0.74775,0.79645,0.62573,0.74564,0.89897,1.07872,0.00125442,0.00125442,0.00125442
21,13046.3,0.72156,0.84515,1.14454,0.71166,0.74775,0.79645,0.62573,0.74564,0.89897,1.07872,0.00125442,0.00125442,0.00125442
22,13830.4,0.73381,0.83199,1.15652,0.81551,0.72332,0.81194,0.62117,0.7836,0.96608,1.09636,0.00123379,0.00123379,0.00123379
22,13663.2,0.73381,0.83199,1.15652,0.81551,0.72332,0.81194,0.62117,0.7836,0.96608,1.09636,0.00123379,0.00123379,0.00123379
23,14477.8,0.68146,0.78909,1.12894,0.81177,0.68832,0.79932,0.61491,0.76708,0.97522,1.10317,0.00121316,0.00121316,0.00121316
23,14274,0.68146,0.78909,1.12894,0.81177,0.68832,0.79932,0.61491,0.76708,0.97522,1.10317,0.00121316,0.00121316,0.00121316
24,15127.9,0.71626,0.79188,1.15034,0.79258,0.72901,0.79333,0.63141,0.75788,0.90002,1.09843,0.00119253,0.00119253,0.00119253
24,14895.4,0.71626,0.79188,1.15034,0.79258,0.72901,0.79333,0.63141,0.75788,0.90002,1.09843,0.00119253,0.00119253,0.00119253
25,15769.7,0.69568,0.80099,1.13112,0.81926,0.75,0.82654,0.64989,0.73544,0.87167,1.0828,0.0011719,0.0011719,0.0011719
25,15515.4,0.69568,0.80099,1.13112,0.81926,0.75,0.82654,0.64989,0.73544,0.87167,1.0828,0.0011719,0.0011719,0.0011719
26,16414.2,0.69013,0.78904,1.13945,0.80872,0.77481,0.84361,0.67388,0.74158,0.81359,1.04295,0.00115127,0.00115127,0.00115127
26,16131,0.69013,0.78904,1.13945,0.80872,0.77481,0.84361,0.67388,0.74158,0.81359,1.04295,0.00115127,0.00115127,0.00115127
27,17065.8,0.68571,0.75941,1.12141,0.71135,0.71831,0.75041,0.59282,0.78233,1.07828,1.10962,0.00113064,0.00113064,0.00113064
27,16744.3,0.68571,0.75941,1.12141,0.71135,0.71831,0.75041,0.59282,0.78233,1.07828,1.10962,0.00113064,0.00113064,0.00113064
28,17712,0.67837,0.75428,1.12148,0.72143,0.7415,0.78403,0.63834,0.69623,0.95565,1.03006,0.00111001,0.00111001,0.00111001
28,17361.4,0.67837,0.75428,1.12148,0.72143,0.7415,0.78403,0.63834,0.69623,0.95565,1.03006,0.00111001,0.00111001,0.00111001
29,18342.9,0.66729,0.741,1.1136,0.83184,0.72901,0.82117,0.66473,0.67767,0.81892,1.01892,0.00108938,0.00108938,0.00108938
29,17986.3,0.66729,0.741,1.1136,0.83184,0.72901,0.82117,0.66473,0.67767,0.81892,1.01892,0.00108938,0.00108938,0.00108938
30,18987.1,0.63906,0.69276,1.09492,0.81944,0.71313,0.81935,0.65905,0.70543,0.8413,1.03717,0.00106876,0.00106876,0.00106876
30,18608,0.63906,0.69276,1.09492,0.81944,0.71313,0.81935,0.65905,0.70543,0.8413,1.03717,0.00106876,0.00106876,0.00106876
31,19636.2,0.64306,0.7063,1.09985,0.83846,0.79198,0.86288,0.70563,0.65694,0.75273,1.00388,0.00104813,0.00104813,0.00104813
31,19222.4,0.64306,0.7063,1.09985,0.83846,0.79198,0.86288,0.70563,0.65694,0.75273,1.00388,0.00104813,0.00104813,0.00104813
32,20288.2,0.62831,0.68074,1.09788,0.79337,0.78663,0.83785,0.68295,0.70796,0.8261,1.04459,0.0010275,0.0010275,0.0010275
32,19834,0.62831,0.68074,1.09788,0.79337,0.78663,0.83785,0.68295,0.70796,0.8261,1.04459,0.0010275,0.0010275,0.0010275
33,20934.9,0.63439,0.66341,1.10068,0.77172,0.72519,0.79558,0.64323,0.71547,0.89206,1.05066,0.00100687,0.00100687,0.00100687
33,20452.2,0.63439,0.66341,1.10068,0.77172,0.72519,0.79558,0.64323,0.71547,0.89206,1.05066,0.00100687,0.00100687,0.00100687
34,21576.5,0.6349,0.68598,1.09192,0.85234,0.79599,0.86242,0.69209,0.68583,0.76213,1.04096,0.000986239,0.000986239,0.000986239
34,21072.6,0.6349,0.68598,1.09192,0.85234,0.79599,0.86242,0.69209,0.68583,0.76213,1.04096,0.000986239,0.000986239,0.000986239
35,21686.6,0.61036,0.64835,1.07306,0.88526,0.76527,0.87027,0.71189,0.66991,0.74708,1.00852,0.00096561,0.00096561,0.00096561
35,22228.1,0.61036,0.64835,1.07306,0.88526,0.76527,0.87027,0.71189,0.66991,0.74708,1.00852,0.00096561,0.00096561,0.00096561
36,22303.4,0.60636,0.65236,1.07801,0.78829,0.73505,0.81478,0.67142,0.67742,0.87691,1.01416,0.000944981,0.000944981,0.000944981
36,22879.2,0.60636,0.65236,1.07801,0.78829,0.73505,0.81478,0.67142,0.67742,0.87691,1.01416,0.000944981,0.000944981,0.000944981
37,22912.9,0.59847,0.645,1.07046,0.82944,0.7873,0.86313,0.71462,0.64145,0.74256,1.00167,0.000924352,0.000924352,0.000924352
37,23534.5,0.59847,0.645,1.07046,0.82944,0.7873,0.86313,0.71462,0.64145,0.74256,1.00167,0.000924352,0.000924352,0.000924352
38,23527.7,0.6071,0.66319,1.07449,0.83358,0.77481,0.85785,0.70813,0.6677,0.73237,1.02377,0.000903722,0.000903722,0.000903722
38,24183.8,0.6071,0.66319,1.07449,0.83358,0.77481,0.85785,0.70813,0.6677,0.73237,1.02377,0.000903722,0.000903722,0.000903722
39,24150.3,0.56741,0.61664,1.05713,0.88786,0.80725,0.88565,0.72349,0.65578,0.67999,1.00171,0.000883093,0.000883093,0.000883093
39,24814.6,0.56741,0.61664,1.05713,0.88786,0.80725,0.88565,0.72349,0.65578,0.67999,1.00171,0.000883093,0.000883093,0.000883093
40,24777.7,0.58785,0.6175,1.06591,0.88665,0.76908,0.85951,0.71072,0.65813,0.76103,1.01775,0.000862464,0.000862464,0.000862464
40,25452.9,0.58785,0.6175,1.06591,0.88665,0.76908,0.85951,0.71072,0.65813,0.76103,1.01775,0.000862464,0.000862464,0.000862464
41,25394.7,0.57607,0.62257,1.06699,0.85513,0.76453,0.85521,0.70992,0.63896,0.73621,0.99479,0.000841835,0.000841835,0.000841835
41,26101.4,0.57607,0.62257,1.06699,0.85513,0.76453,0.85521,0.70992,0.63896,0.73621,0.99479,0.000841835,0.000841835,0.000841835
42,26006.5,0.5716,0.6201,1.05623,0.87464,0.78541,0.87603,0.7373,0.62356,0.69809,0.98045,0.000821206,0.000821206,0.000821206
42,26757.4,0.5716,0.6201,1.05623,0.87464,0.78541,0.87603,0.7373,0.62356,0.69809,0.98045,0.000821206,0.000821206,0.000821206
43,26624.7,0.56567,0.59313,1.06008,0.85712,0.80725,0.86903,0.72896,0.63191,0.69118,0.98408,0.000800577,0.000800577,0.000800577
43,27399.7,0.56567,0.59313,1.06008,0.85712,0.80725,0.86903,0.72896,0.63191,0.69118,0.98408,0.000800577,0.000800577,0.000800577
44,27242.9,0.55774,0.59459,1.04817,0.87896,0.7681,0.86452,0.72125,0.63129,0.70857,0.98887,0.000779948,0.000779948,0.000779948
44,28046,0.55774,0.59459,1.04817,0.87896,0.7681,0.86452,0.72125,0.63129,0.70857,0.98887,0.000779948,0.000779948,0.000779948
45,27864.4,0.55201,0.57672,1.05286,0.85115,0.80725,0.8733,0.73014,0.63971,0.70558,0.98752,0.000759318,0.000759318,0.000759318
45,28694.5,0.55201,0.57672,1.05286,0.85115,0.80725,0.8733,0.73014,0.63971,0.70558,0.98752,0.000759318,0.000759318,0.000759318
46,28479.8,0.55522,0.57554,1.04524,0.86393,0.75916,0.8534,0.712,0.67332,0.72224,1.01879,0.000738689,0.000738689,0.000738689
46,29343.7,0.55522,0.57554,1.04524,0.86393,0.75916,0.8534,0.712,0.67332,0.72224,1.01879,0.000738689,0.000738689,0.000738689
47,29103.1,0.55046,0.55593,1.04383,0.85386,0.80197,0.85752,0.7288,0.62898,0.70756,1.00703,0.00071806,0.00071806,0.00071806
47,29986.3,0.55046,0.55593,1.04383,0.85386,0.80197,0.85752,0.7288,0.62898,0.70756,1.00703,0.00071806,0.00071806,0.00071806
48,29729.2,0.5434,0.55677,1.04165,0.89002,0.79179,0.87869,0.74625,0.61744,0.66078,0.97561,0.000697431,0.000697431,0.000697431
48,30653.3,0.5434,0.55677,1.04165,0.89002,0.79179,0.87869,0.74625,0.61744,0.66078,0.97561,0.000697431,0.000697431,0.000697431
49,30416,0.53818,0.54288,1.03672,0.85388,0.81562,0.87977,0.74766,0.6061,0.64552,0.97259,0.000676802,0.000676802,0.000676802
49,31356.9,0.53818,0.54288,1.03672,0.85388,0.81562,0.87977,0.74766,0.6061,0.64552,0.97259,0.000676802,0.000676802,0.000676802
50,31090.2,0.52379,0.54457,1.02502,0.86234,0.81489,0.87526,0.73969,0.62541,0.67191,0.97927,0.000656173,0.000656173,0.000656173
50,32053.4,0.52379,0.54457,1.02502,0.86234,0.81489,0.87526,0.73969,0.62541,0.67191,0.97927,0.000656173,0.000656173,0.000656173
51,31732.8,0.51431,0.53771,1.02808,0.84525,0.80355,0.87243,0.73793,0.5972,0.67504,0.96574,0.000635544,0.000635544,0.000635544
51,32799,0.51431,0.53771,1.02808,0.84525,0.80355,0.87243,0.73793,0.5972,0.67504,0.96574,0.000635544,0.000635544,0.000635544
52,32438.8,0.52116,0.54101,1.02448,0.85976,0.78244,0.8589,0.72775,0.64094,0.72146,0.98822,0.000614915,0.000614915,0.000614915
52,33527.8,0.52116,0.54101,1.02448,0.85976,0.78244,0.8589,0.72775,0.64094,0.72146,0.98822,0.000614915,0.000614915,0.000614915
